id,stackoverflowid,githubid,twitterid,ghdup,twdup
18862,392584,35183,9102,f,f
18863,392614,764120,15319427,f,f
18864,392626,93181,263699593,f,f
18865,392725,22614,9691552,f,f
18866,392767,2321958,1025063461,f,f
18867,392807,192500,20433512,f,f
18868,392823,591159,65381790,f,f
18869,392831,1476276,291270484,f,f
18870,392843,180050,18293449,f,f
18871,392847,8318344,33180231,f,f
18872,392851,462890,93021607,f,f
18873,392858,121178,566652438,f,f
18874,392874,720432,14395863,f,f
18875,392881,333010,435298154,f,f
18876,392937,4648934,43558565,f,f
18877,392981,15478,16729632,f,f
18878,393068,9036,18675611,f,f
18879,393075,314351,58502284,f,f
18880,393128,176175,10785782,f,f
18881,393143,645473,52442128,f,f
18882,393146,643204,1561521787,f,f
18883,393154,185717,16802189,f,f
18884,393157,1698599,3022790331,f,f
18885,393161,923307,139839566,f,f
18886,393357,47727,4550431,f,f
18887,393373,175793,17215973,f,f
18888,393391,1312559,14188890,f,f
18889,393453,129153,5237211,f,f
18890,393581,959766,23762325,f,f
18891,393684,441483,14472361,f,f
18892,393688,715760,25921879,f,f
18893,393701,280166,71556286,f,f
18894,393764,494633,25161812,f,f
18895,393787,2901242,1404225847,f,f
18896,393911,223142,19989152,f,f
18897,393938,753515,18109770,f,f
18898,393945,1370909,1458085220,f,f
18899,394013,246103,20612511,f,f
18900,394028,1730278,45560924,f,f
18901,394064,235738,566269676,f,f
18902,394120,342563,139082457,f,f
18903,394285,381581,23105181,f,f
18904,394331,328124,86038948,f,f
18905,394397,1312121,185893733,f,f
18906,394419,725067,17000855,f,f
18907,394436,358163,22580301,f,f
18908,394496,306420,38558904,f,f
18909,394537,83100,35424853,f,f
18910,394561,76964,20049689,f,f
18911,394564,23809,17334877,f,f
18912,394592,560608,575418334,f,f
18913,394597,562776,16964862,f,f
18914,394643,5373,14658472,f,f
18915,394716,180050,18293449,f,f
18916,394755,175190,11342442,f,f
18917,394788,737979,6799232,f,f
18918,394795,1163358,196036959,f,f
18919,394818,377928,20773801,f,f
18920,394850,124591,28908252,f,f
18921,394945,1356951,1594527264,f,f
18922,394988,334337,27404552,f,f
18923,395000,1385668,141647259,f,f
18924,395062,322460,162704550,f,f
18925,395063,323792,125597515,f,f
18926,395106,567524,182955268,f,f
18927,395128,337595,112298416,f,f
18928,395154,1094866,1041598620,f,f
18929,395181,159245,19176278,f,f
18930,395239,371303,181706893,f,f
18931,395287,27889,15188612,f,f
18932,395341,332155,167856696,f,f
18933,395353,141195,32735661,f,f
18934,395379,169760,68720435,f,f
18935,395390,279027,167960058,f,f
18936,395404,626777,30429801,f,f
18937,395419,7598563,43005012,f,f
18938,395464,31000,11640332,f,f
18939,395495,1909136,157371118,f,f
18940,395565,1083574,30627734,f,f
18941,395588,294470,19336492,f,f
18942,395591,895205,17066628,f,f
18943,395596,52241,9039352,f,f
18944,395604,479012,234736871,f,f
18945,395685,1840281,2964047259,f,f
18946,395686,280032,187587874,f,f
18947,395735,2254852,41980448,f,f
18948,395781,617587,14856099,f,f
18949,395797,77133,15831988,f,f
18950,395804,1032526,276400350,f,f
18951,395833,152266,3556001,f,f
18952,395846,568467,20343470,f,f
18953,395850,328885,22981025,f,f
18954,395885,570889,15502926,f,f
18955,395901,440787,23635687,f,f
18956,395929,754845,14129151,f,f
18957,395952,471928,89608951,f,f
18958,395972,376472,47613150,f,f
18959,395975,2114082,2206481036,f,f
18960,395984,808502,22984224,f,f
18961,396044,410845,17819154,f,f
18962,396052,515216,38692295,f,f
18963,396079,124506,7954512,f,f
18964,396119,94755,42215670,f,f
18965,396136,557519,790065073,f,f
18966,396173,309123,6163562,f,f
18967,396186,462088,287963911,f,f
18968,396232,796683,23948034,f,f
18969,396243,401330,31330542,f,f
18970,396293,182213,16688540,f,f
18971,396414,15598,823380,f,f
18972,396490,377632,24635812,f,f
18973,396507,373925,14427789,f,f
18974,396569,199223,26183709,f,f
18975,396573,66382,14556535,f,f
18976,396595,272787,14820315,f,f
18977,396682,193949,40830256,f,f
18978,396697,279238,10201222,f,f
18979,396746,186225,36437191,f,f
18980,396747,342133,105166675,f,f
18981,396830,761983,14476080,f,f
18982,396862,38705,41777857,f,f
18983,396875,731397,106759434,f,f
18984,396956,289938,15468577,f,f
18985,396964,418258,10994622,f,f
18986,396986,338813,17494843,f,f
18987,396997,1395167,464310521,f,f
18988,397019,98884,13153072,f,f
18989,397020,278870,16063910,f,f
18990,397079,139687,87438163,f,f
18991,397113,76838,18152380,f,f
18992,397125,753315,280121654,f,f
18993,397130,9174,12287242,f,f
18994,397210,243505,14426192,f,f
18995,397227,63635,6783712,f,f
18996,397246,461670,170622073,f,f
18997,397246,264536,137630849,t,f
18998,397254,1562692,343780470,f,f
18999,397310,527987,30174707,f,f
19000,397334,627486,147253607,f,f
19001,397336,771382,16099107,f,f
19002,397344,1424221,1312381,f,f
19003,397354,673695,327585404,f,f
19004,397457,421486,20025180,f,f
19005,397509,308521,279491598,f,f
19006,397516,233915,18502969,f,f
19007,397694,747879,11535712,f,f
19008,397853,81473,17208892,f,f
19009,397879,4514583,1158925452,f,f
19010,397889,867690,15707486,f,f
19011,397927,14948,9812952,f,f
19012,397935,160008,1126549016,f,f
19013,398014,28185,14594657,f,f
19014,398030,665873,40096100,f,f
19015,398095,237273,20019582,f,f
19016,398098,320285,598572467,f,f
19017,398129,1327919,262249895,f,f
19018,398136,454130,14342921,f,f
19019,398164,118010,2029641,f,f
19020,398201,334849,147608409,f,f
19021,398212,458879,227187870,f,f
19022,398289,232993,44257250,f,f
19023,398434,451112,138669695,f,f
19024,398462,591505,9266122,f,f
19025,398483,545727,39841215,f,f
19026,398522,184030,11797682,f,f
19027,398525,628622,16355799,f,f
19028,398533,1306495,74129166,f,f
19029,398541,382887,97703842,f,f
19030,398549,4389783,2372601890,f,f
19031,398574,95672,14859608,f,f
19032,398582,304507,15637267,f,f
19033,398604,12969,15244803,f,f
19034,398657,2748277,15674712,f,f
19035,398672,611624,14114897,f,f
19036,398679,566418,52287112,f,f
19037,398689,52883,15119711,f,f
19038,398705,125175,202022689,f,f
19039,398748,1044195,105833303,f,f
19040,398749,631497,44299499,f,f
19041,398760,3688912,85529001,f,f
19042,398836,322456,119870381,f,f
19043,398848,708071,255159189,f,f
19044,398908,455508,14880058,f,f
19045,398939,99223,31408061,f,f
19046,398988,465125,11852402,f,f
19047,399077,176993,12084842,f,f
19048,399104,762733,14683040,f,f
19049,399110,18822,505974147,f,f
19050,399184,37163,75996107,f,f
19051,399198,355384,7553702,f,f
19052,399237,737132,7300362,f,f
19053,399247,985586,163793962,f,f
19054,399272,340850,25129169,f,f
19055,399275,176702,61810086,f,f
19056,399351,43731,14157694,f,f
19057,399367,24009,4802941,f,f
19058,399373,260733,24228027,f,f
19059,399403,263432,968503830,f,f
19060,399502,583962,15337267,f,f
19061,399577,42520,3491201,f,f
19062,399667,654946,296097135,f,f
19063,399669,84251,9319132,f,f
19064,399707,946604,361309729,f,f
19065,399738,327833,16365944,f,f
19066,399739,586927,17007947,f,f
19067,399742,122591,17635439,f,f
19068,399815,540836,169609014,f,f
19069,399845,1755735,82823785,f,f
19070,399846,251222,155975529,f,f
19071,399850,7044,14313508,f,f
19072,399859,2153,787864,f,f
19073,399890,3392939,132739629,f,f
19074,399905,45870,662433,f,f
19075,399922,81024,14924400,f,f
19076,399985,62798,18447641,f,f
19077,400034,729574,169425641,f,f
19078,400071,75650,15979286,f,f
19079,400078,68786,20225882,f,f
19080,400109,12736,18159625,f,f
19081,400173,638408,30236617,f,f
19082,400183,453215,10879322,f,f
19083,400236,328112,17068951,f,f
19084,400335,24156,39949011,f,f
19085,400407,51469,14133800,f,f
19086,400417,625300,14520468,f,f
19087,400458,130357,17151777,f,f
19088,400462,618324,1111981,f,f
19089,400503,153107,14923319,f,f
19090,400575,110406,20848855,f,f
19091,400648,838741,10907222,f,f
19092,400666,124966,95091517,f,f
19093,400681,5650756,14850313,f,f
19094,400691,767671,149101294,f,f
19095,400697,2053557,14720625,f,f
19096,400729,101220,25294742,f,f
19097,400756,770633,91019380,f,f
19098,400793,464704,17031103,f,f
19099,400796,126833,5045851,f,f
19100,400819,629527,132439621,f,f
19101,400861,199751,39559007,f,f
19102,400874,1166913,83367439,f,f
19103,400878,308565,16248167,f,f
19104,401047,1822520,389377323,f,f
19105,401060,1355606,15680924,f,f
19106,401069,104110,5082521,f,f
19107,401085,342859,15713853,f,f
19108,401099,777271,36903972,f,f
19109,401101,544163,112180920,f,f
19110,401115,248183,255757950,f,f
19111,401122,872095,62913073,f,f
19112,401145,203622,14973836,f,f
19113,401150,105178,22057255,f,f
19114,401175,976661,44727899,f,f
19115,401207,102697,12920172,f,f
19116,401259,358358,187133337,f,f
19117,401272,593486,16958607,f,f
19118,401274,1144615,407199085,f,f
19119,401306,793565,433798720,f,f
19120,401323,143380,61359736,f,f
19121,401329,524420,15264384,f,f
19122,401347,1915203,45875663,f,f
19123,401406,703196,16078955,f,f
19124,401419,333868,36922349,f,f
19125,401463,288246,724683,f,f
19126,401464,3245,17755986,f,f
19127,401467,4476904,22602492,f,f
19128,401525,838908,15947956,f,f
19129,401526,103046,14326088,f,f
19130,401538,82079,15984339,f,f
19131,401539,88299,28982807,f,f
19132,401544,311343,60935781,f,f
19133,401553,1533237,80269263,f,f
19134,401554,469120,20541932,f,f
19135,401581,482435,113641231,f,f
19136,401600,259865,16328131,f,f
19137,401602,634276,1765731,f,f
19138,401616,1297809,77538797,f,f
19139,401616,1297809,34264804,f,t
19140,401627,67072,170423711,f,f
19141,401653,1725,18930478,f,f
19142,401659,198142,12378602,f,f
19143,401688,46858,47453474,f,f
19144,401702,1051258,14326616,f,f
19145,401719,387060,3508691,f,f
19146,401762,2556224,36427932,f,f
19147,401767,570960,33838007,f,f
19148,401803,2397737,49504158,f,f
19149,401828,683725,29916102,f,f
19150,401899,128857,39527638,f,f
19151,402110,6967,213370699,f,f
19152,402112,20631,9588712,f,f
19153,402120,1011718,1264779446,f,f
19154,402211,426338,23962971,f,f
19155,402271,50430,5608562,f,f
19156,402281,50332,170834117,f,f
19157,402330,89122,5626992,f,f
19158,402340,369111,2409304664,f,f
19159,402366,470455,9980662,f,f
19160,402382,261170,14757915,f,f
19161,402408,44847,14125351,f,f
19162,402412,1048089,25320898,f,f
19163,402418,161674,18267995,f,f
19164,402436,26976,14370541,f,f
19165,402491,1081078,43425638,f,f
19166,402555,666493,395024564,f,f
19167,402571,153644,44388826,f,f
19168,402585,902607,18817556,f,f
19169,402606,912881,15983710,f,f
19170,402671,1431035,13958322,f,f
19171,402715,55474,7662782,f,f
19172,402720,538284,776134,f,f
19173,402739,182213,16688540,f,f
19174,402774,503508,15550516,f,f
19175,402777,448516,43220757,f,f
19176,402932,2030255,24610002,f,f
19177,402945,12100,14214053,f,f
19178,403029,148454,274613065,f,f
19179,403044,22473,24403302,f,f
19180,403046,277306,7298812,f,f
19181,403117,527391,1490631,f,f
19182,403165,305730,17619757,f,f
19183,403170,645472,28398796,f,f
19184,403172,379115,45162134,f,f
19185,403180,522877,20598764,f,f
19186,403190,89487,18239057,f,f
19187,403211,272419,31119912,f,f
19188,403290,939775,165512353,f,f
19189,403310,2779998,487591270,f,f
19190,403340,653717,98909109,f,f
19191,403373,2116164,203542131,f,f
19192,403406,516325,11345042,f,f
19193,403414,751487,5875982,f,f
19194,403425,229384,211440612,f,f
19195,403434,844516,16129491,f,f
19196,403473,63110,19637908,f,f
19197,403476,448737,19595567,f,f
19198,403477,492,14600652,f,f
19199,403512,962736,16394671,f,f
19200,403516,279612,7083082,f,f
19201,403531,15963,9445012,f,f
19202,403554,565174,382274939,f,f
19203,403600,968777,41773805,f,f
19204,403617,636404,21501754,f,f
19205,403661,438357,15887030,f,f
19206,403676,252058,49253020,f,f
19207,403681,962340,76964917,f,f
19208,403728,3019056,1437761642,f,f
19209,403730,6307031,16307884,f,f
19210,403736,221057,290833546,f,f
19211,403747,19819,14498747,f,f
19212,403765,1657085,608553852,f,f
19213,403795,1462815,48991315,f,f
19214,403842,242405,36774622,f,f
19215,403850,219296,26029506,f,f
19216,403864,228119,6753492,f,f
19217,403872,1390333,16229305,f,f
19218,403887,702206,17241200,f,f
19219,403890,1276830,2326248871,f,f
19220,403909,241452,53040660,f,f
19221,403940,692970,16478247,f,f
19222,403971,2062415,980845368,f,f
19223,404019,202141,212061565,f,f
19224,404021,74197,14349836,f,f
19225,404176,829596,14824182,f,f
19226,404282,178941,628727631,f,f
19227,404284,1525234,472780798,f,f
19228,404291,65542,249324139,f,f
19229,404361,809385,822012582,f,f
19230,404364,809385,822012582,f,f
19231,404373,15524,18316096,f,f
19232,404447,131179,10552322,f,f
19233,404473,1046938,14068077,f,f
19234,404525,219826,15727625,f,f
19235,404536,76092,20501597,f,f
19236,404538,1183636,9602542,f,f
19237,404541,1239616,20063854,f,f
19238,404592,80070,142646818,f,f
19239,404627,5238131,18671669,f,f
19240,404640,15195,14687947,f,f
19241,404643,417966,28716967,f,f
19242,404650,352101,15869364,f,f
19243,404691,1380307,189480190,f,f
19244,404728,932365,19822439,f,f
19245,404764,2202487,74236454,f,f
19246,404792,544977,45518560,f,f
19247,404797,58547,14149597,f,f
19248,404810,173559,14810761,f,f
19249,404819,419746,12798882,f,f
19250,404830,464356,14063559,f,f
19251,404844,464356,14063559,f,f
19252,404872,5529832,17563822,f,f
19253,404917,978755,324987810,f,f
19254,404929,115830,11819602,f,f
19255,404941,469193,8257852,f,f
19256,404979,329967,8061882,f,f
19257,404989,906155,23214328,f,f
19258,404990,348284,41359393,f,f
19259,405011,64779,46706431,f,f
19260,405013,245435,16124537,f,f
19261,405017,14778,191940968,f,f
19262,405035,1558419,19132502,f,f
19263,405080,234569,8613502,f,f
19264,405113,308157,1353010477,f,f
19265,405131,1129046,211492597,f,f
19266,405143,617233,21001868,f,f
19267,405144,1236447,38415224,f,f
19268,405148,502147,186136034,f,f
19269,405156,16997,12357582,f,f
19270,405217,159077,19343152,f,f
19271,405276,166962,197312437,f,f
19272,405280,720794,280091759,f,f
19273,405295,8316,3030626548,f,f
19274,405316,3017,30252148,f,f
19275,405332,623041,16395600,f,f
19276,405393,408490,39030492,f,f
19277,405426,345562,90197102,f,f
19278,405487,54409,14175289,f,f
19279,405681,414072,47626491,f,f
19280,405765,13205,14923548,f,f
19281,405798,163039,9529072,f,f
19282,405806,7477,5150651,f,f
19283,405815,58606,7772042,f,f
19284,405845,817352,14243472,f,f
19285,405865,128151,15050292,f,f
19286,405906,708474,15308964,f,f
19287,405960,879479,695263,f,f
19288,405979,5510061,67907586,f,f
19289,405980,130963,44358342,f,f
19290,406038,580192,74682934,f,f
19291,406050,257385,18169286,f,f
19292,406055,560120,434688955,f,f
19293,406079,113790,53411980,f,f
19294,406093,1060460,14165053,f,f
19295,406157,32290,6324192,f,f
19296,406174,4867,14254339,f,f
19297,406179,537211,47245876,f,f
19298,406196,237323,1158320732,f,f
19299,406196,237323,15891039,f,t
19300,406213,4790138,27460731,f,f
19301,406220,150550,52704124,f,f
19302,406236,98899,15738557,f,f
19303,406249,927220,14137234,f,f
19304,406261,387693,158606135,f,f
19305,406290,1558426,15088390,f,f
19306,406393,10858,750843,f,f
19307,406410,1396704,173829855,f,f
19308,406464,349335,14584496,f,f
19309,406488,127150,34695465,f,f
19310,406506,2829939,19433,f,f
19311,406506,351666,59214540,t,f
19312,406526,871551,15492316,f,f
19313,406532,19460,1635006739,f,f
19314,406623,338294,185605018,f,f
19315,406641,685597,14953949,f,f
19316,406642,187657,19862380,f,f
19317,406680,227923,37139784,f,f
19318,406712,52425,18412928,f,f
19319,406788,673367,19430630,f,f
19320,406800,203993,17837514,f,f
19321,406803,1242304,1287925130,f,f
19322,406848,1152042,14073039,f,f
19323,406851,330705,18019235,f,f
19324,406870,38727,26639826,f,f
19325,406899,246978,7387992,f,f
19326,406913,88126,14787750,f,f
19327,406934,322852,16378018,f,f
19328,406959,291785,3154049604,f,f
19329,406984,424946,206861991,f,f
19330,406992,279339,23556171,f,f
19331,407003,4699,16635610,f,f
19332,407032,196589,37504390,f,f
19333,407052,656510,3939351,f,f
19334,407084,144449,15202174,f,f
19335,407109,550649,14697703,f,f
19336,407134,241297,19699916,f,f
19337,407170,121180,14295321,f,f
19338,407202,431277,34882597,f,f
19339,407221,2054218,16803404,f,f
19340,407226,10280,14256979,f,f
19341,407249,1811612,39672825,f,f
19342,407369,27306,157135150,f,f
19343,407403,146438,18916329,f,f
19344,407436,62273,12107,f,f
19345,407456,153305,55175865,f,f
19346,407468,184563,193860936,f,f
19347,407480,90694,15249391,f,f
19348,407536,236515,15758623,f,f
19349,407559,713672,14392979,f,f
19350,407564,1532733,6288662,f,f
19351,407580,297993,16995519,f,f
19352,407590,115731,897995390,f,f
19353,407621,811563,41352668,f,f
19354,407664,357500,31369355,f,f
19355,407679,355489,15631257,f,f
19356,407691,213959,117480687,f,f
19357,407697,260361,14215183,f,f
19358,407704,891260,212459912,f,f
19359,407737,85424,19980896,f,f
19360,407779,582713,20896154,f,f
19361,407782,117083,11814402,f,f
19362,407804,392860,72859217,f,f
19363,407880,62740,2973210675,f,f
19364,407903,16758,6610282,f,f
19365,407934,1415767,34567083,f,f
19366,407944,1116350,21246373,f,f
19367,407952,109363,69870171,f,f
19368,407954,515142,15713577,f,f
19369,407957,10952,15984393,f,f
19370,407989,92370,820782,f,f
19371,408009,308827,18082484,f,f
19372,408153,161183,10824852,f,f
19373,408161,193140,814425,f,f
19374,408165,15115,106371320,f,f
19375,408193,461021,36803839,f,f
19376,408231,163426,14174890,f,f
19377,408244,1156272,17799525,f,f
19378,408323,254381,284150377,f,f
19379,408339,140878,10149152,f,f
19380,408358,324203,14139846,f,f
19381,408459,62494,76291293,f,f
19382,408465,18953,17112977,f,f
19383,408546,376268,174279369,f,f
19384,408593,28090,17680919,f,f
19385,408597,781833,92433299,f,f
19386,408612,318795,26462091,f,f
19387,408613,469111,5905,f,f
19388,408643,623837,145609757,f,f
19389,408668,138188,14909432,f,f
19390,408670,124467,15854736,f,f
19391,408690,568566,134785966,f,f
19392,408714,648626,10044152,f,f
19393,408721,238539,29405689,f,f
19394,408723,3452771,35143032,f,f
19395,408743,69425,12151272,f,f
19396,408746,25286,615693,f,f
19397,408767,498251,21167055,f,f
19398,408787,113790,53411980,f,f
19399,408801,1328963,106571318,f,f
19400,408834,1924925,41873080,f,f
19401,408844,304786,14110623,f,f
19402,408854,96882,14286258,f,f
19403,408864,511447,43718941,f,f
19404,408868,704650,33636032,f,f
19405,408877,244341,210191485,f,f
19406,408907,4187028,109407472,f,f
19407,408909,193753,10868832,f,f
19408,408913,743891,24899772,f,f
19409,408914,186683,25263775,f,f
19410,408948,71977,18789471,f,f
19411,408951,308793,54094176,f,f
19412,408967,9367,9607362,f,f
19413,408974,1824313,14849009,f,f
19414,409013,131037,9680152,f,f
19415,409016,5091,294330646,f,f
19416,409038,308827,18082484,f,f
19417,409056,88490,12236142,f,f
19418,409068,494182,14820034,f,f
19419,409094,160338,53392185,f,f
19420,409113,42183,20962852,f,f
19421,409129,57320,22227515,f,f
19422,409130,2446,14843214,f,f
19423,409149,1028647,114056479,f,f
19424,409156,558855,52556214,f,f
19425,409157,227799,57351007,f,f
19426,409179,195134,6375892,f,f
19427,409221,486553,7809922,f,f
19428,409228,57131,268974242,f,f
19429,409350,77749,25264038,f,f
19430,409384,665640,276720032,f,f
19431,409386,83998,11546022,f,f
19432,409473,59797,29645805,f,f
19433,409616,806681,22337680,f,f
19434,409623,158686,11791622,f,f
19435,409663,954026,38387473,f,f
19436,409694,1873784,9483002,f,f
19437,409695,1014106,39369577,f,f
19438,409699,228429,12512412,f,f
19439,409799,766403,56948164,f,f
19440,409823,893337,84262415,f,f
19441,409875,13263,18141006,f,f
19442,409904,480718,126061257,f,f
19443,409924,1692476,27338275,f,f
19444,409993,2693141,32187172,f,f
19445,409994,273014,14857832,f,f
19446,410023,3030411,1115707040,f,f
19447,410059,8495,14298231,f,f
19448,410105,942358,31005370,f,f
19449,410112,830545,26440524,f,f
19450,410138,1242738,75831422,f,f
19451,410140,180050,18293449,f,f
19452,410160,192826,14315993,f,f
19453,410183,598182,97785723,f,f
19454,410218,349454,10139002,f,f
19455,410240,337808,14288790,f,f
19456,410342,1672033,1641086906,f,f
19457,410357,211329,40216868,f,f
19458,410367,193139,18422916,f,f
19459,410416,274932,485428648,f,f
19460,410468,418835,49739243,f,f
19461,410481,4480512,199222226,f,f
19462,410531,321761,979002026,f,f
19463,410556,422014,160537651,f,f
19464,410605,2599389,191014393,f,f
19465,410699,4444823,104590143,f,f
19466,410703,1218027,37904409,f,f
19467,410710,1620324,17647394,f,f
19468,410720,3469849,22455971,f,f
19469,410725,1422891,38592709,f,f
19470,410734,415860,22162720,f,f
19471,410740,1328479,96102329,f,f
19472,410744,293677,87293777,f,f
19473,410759,314,3576061,f,f
19474,410774,2532472,325389402,f,f
19475,410822,18264,14225666,f,f
19476,410826,1883930,1254279036,f,f
19477,410860,350034,274530334,f,f
19478,410878,922497,498796956,f,f
19479,410899,64829,18436596,f,f
19480,410966,1118784,72892114,f,f
19481,411029,289244,10505852,f,f
19482,411122,1843528,65462801,f,f
19483,411135,433799,405990746,f,f
19484,411200,219449,19027811,f,f
19485,411221,388633,62152318,f,f
19486,411231,28185,14594657,f,f
19487,411236,35934,14208841,f,f
19488,411298,279521,9765902,f,f
19489,411365,2701907,19588515,f,f
19490,411375,879471,15536975,f,f
19491,411383,253822,59516592,f,f
19492,411431,360470,115360441,f,f
19493,411438,233615,44006917,f,f
19494,411472,1296063,13225492,f,f
19495,411495,170969,118338610,f,f
19496,411514,882381,214631079,f,f
19497,411662,171967,40844173,f,f
19498,411727,1971953,373569661,f,f
19499,411767,296732,41575886,f,f
19500,411777,529817,565217131,f,f
19501,411839,65848,49304941,f,f
19502,411844,47222,14895864,f,f
19503,411870,414451,29165266,f,f
19504,411885,821007,318481098,f,f
19505,411934,30634,19395064,f,f
19506,411960,3467,6016702,f,f
19507,411967,439649,15481845,f,f
19508,411970,38329,1352741,f,f
19509,411984,42183,20962852,f,f
19510,411989,1752021,373097188,f,f
19511,412054,676127,19077799,f,f
19512,412070,101147,62558030,f,f
19513,412103,128795,15607558,f,f
19514,412142,1675857,173931558,f,f
19515,412159,273846,16184854,f,f
19516,412175,1492560,17997231,f,f
19517,412179,271035,8028592,f,f
19518,412180,467215,17336036,f,f
19519,412184,12772,720933,f,f
19520,412222,1268169,90742160,f,f
19521,412240,980835,41083004,f,f
19522,412252,202432,201719890,f,f
19523,412262,21615,1047921,f,f
19524,412277,692420,19922416,f,f
19525,412335,430980,1429942483,f,f
19526,412338,11079,14090513,f,f
19527,412350,515664,8950292,f,f
19528,412361,309535,327935460,f,f
19529,412395,398739,96852242,f,f
19530,412457,70360,25841387,f,f
19531,412478,731722,17716605,f,f
19532,412485,181017,14178124,f,f
19533,412497,96485,394150477,f,f
19534,412534,6129,1684831,f,f
19535,412553,960378,8741762,f,f
19536,412555,527984,89713856,f,f
19537,412582,533823,466781810,f,f
19538,412590,7012225,137591099,f,f
19539,412596,150021,22791020,f,f
19540,412655,86978,1098742782,f,f
19541,412729,205256,9557282,f,f
19542,412743,5819904,16325809,f,f
19543,412794,5219132,17430074,f,f
19544,412808,299880,456200525,f,f
19545,412828,25522,13630,f,f
19546,412861,530573,69819418,f,f
19547,412940,804942,145206404,f,f
19548,413004,230367,26319359,f,f
19549,413059,343973,62718980,f,f
19550,413094,441232,54834947,f,f
19551,413131,849090,22038018,f,f
19552,413159,55797,38427300,f,f
19553,413304,939805,19330602,f,f
19554,413317,15953,14911337,f,f
19555,413377,518059,18583412,f,f
19556,413404,2077508,366008391,f,f
19557,413431,1750943,28909306,f,f
19558,413470,102973,14213416,f,f
19559,413496,251255,6209532,f,f
19560,413498,398125,45303928,f,f
19561,413516,326859,14626883,f,f
19562,413551,7268,14384669,f,f
19563,413555,34312,7402632,f,f
19564,413560,1668786,22523148,f,f
19565,413593,945588,18155052,f,f
19566,413600,1429628,47278249,f,f
19567,413653,678114,15539200,f,f
19568,413672,529425,11448632,f,f
19569,413735,313979,404402069,f,f
19570,413735,313979,18307796,f,t
19571,413736,353650,86299950,f,f
19572,413744,4279,17853,f,f
19573,413768,426038,20925781,f,f
19574,413772,29153,11754212,f,f
19575,413785,535842,15658855,f,f
19576,413820,752123,24363891,f,f
19577,413825,824762,20627562,f,f
19578,413845,1121903,41795237,f,f
19579,413877,473914,43658519,f,f
19580,413895,4492818,17277914,f,f
19581,413899,475980,64516179,f,f
19582,413900,162989,289807945,f,f
19583,413934,2759806,39574731,f,f
19584,414032,46987,14456947,f,f
19585,414042,766696,12447,f,f
19586,414073,20919,15406384,f,f
19587,414084,198095,2739125856,f,f
19588,414111,14482,14479695,f,f
19589,414115,388198,69142010,f,f
19590,414127,368858,19413538,f,f
19591,414145,606594,12744872,f,f
19592,414164,151809,15417592,f,f
19593,414215,686745,83599668,f,f
19594,414220,362851,65407986,f,f
19595,414301,320955,297828643,f,f
19596,414376,120231,15760670,f,f
19597,414397,554042,616664070,f,f
19598,414453,515110,63533129,f,f
19599,414487,47163,9761582,f,f
19600,414516,629348,34565687,f,f
19601,414643,507113,5010381,f,f
19602,414687,772968,76121726,f,f
19603,414863,431471,15094049,f,f
19604,414964,36232,139538212,f,f
19605,414972,1427413,18349362,f,f
19606,415025,669530,16376735,f,f
19607,415031,17748,1459301,f,f
19608,415057,167227,49343943,f,f
19609,415118,428507,16531042,f,f
19610,415131,84920,55528007,f,f
19611,415132,465751,11889202,f,f
19612,415176,1249695,574546761,f,f
19613,415213,74183,44911185,f,f
19614,415214,56403,11688,f,f
19615,415240,1191538,15993851,f,f
19616,415286,580803,160223256,f,f
19617,415309,1123786,312210014,f,f
19618,415338,229368,29062039,f,f
19619,415363,391085,15781731,f,f
19620,415364,159186,43487825,f,f
19621,415377,299297,14490437,f,f
19622,415428,57675,24083536,f,f
19623,415436,349388,15165572,f,f
19624,415448,2394146,31212816,f,f
19625,415475,485766,38245590,f,f
19626,415505,329075,19549619,f,f
19627,415527,1769986,14128341,f,f
19628,415546,472555,16481239,f,f
19629,415555,416155,15557654,f,f
19630,415562,64114,72631175,f,f
19631,415579,99422,51878624,f,f
19632,415588,323734,15927166,f,f
19633,415600,1702649,570089909,f,f
19634,415661,789900,93429472,f,f
19635,415690,554347,5690412,f,f
19636,415753,566418,52287112,f,f
19637,415755,1028755,19060062,f,f
19638,415801,834173,194486009,f,f
19639,415859,89212,20364691,f,f
19640,415865,439199,41066042,f,f
19641,415901,123917,38826202,f,f
19642,415902,148258,70066349,f,f
19643,415932,796193,15720587,f,f
19644,415961,1061984,34406664,f,f
19645,415986,130013,798291907,f,f
19646,416003,369492,14190527,f,f
19647,416032,123917,38826202,f,f
19648,416089,37550,199672512,f,f
19649,416103,1664032,12762762,f,f
19650,416124,11738,14395115,f,f
19651,416213,1087150,41095792,f,f
19652,416231,54944,14490236,f,f
19653,416248,1663120,160847370,f,f
19654,416291,2651,6543022,f,f
19655,416352,982962,213612556,f,f
19656,416354,463230,28870687,f,f
19657,416370,682693,54126916,f,f
19658,416389,154763,166112489,f,f
19659,416418,968912,85086226,f,f
19660,416421,200188,196065418,f,f
19661,416498,653610,593718543,f,f
19662,416500,759549,14377847,f,f
19663,416508,284805,10201532,f,f
19664,416547,1095917,17645969,f,f
19665,416646,598108,18088546,f,f
19666,416672,355155,96361928,f,f
19667,416672,355155,48673457,f,t
19668,416700,51877,42303,f,f
19669,416743,380283,1325031,f,f
19670,416791,629141,94858536,f,f
19671,416817,97392,9228712,f,f
19672,416836,1059218,16907357,f,f
19673,416842,596463,99017611,f,f
19674,416845,76371,16134710,f,f
